features.18.conv2.weight	torch.Size([512, 512, 3, 3])
features.18.bn2.weight	torch.Size([512])
features.18.bn2.bias	torch.Size([512])
features.18.bn2.running_mean	torch.Size([512])
features.18.bn2.running_var	torch.Size([512])
features.18.bn2.num_batches_tracked	torch.Size([])
features.18.conv3.weight	torch.Size([2048, 512, 1, 1])
features.18.bn3.weight	torch.Size([2048])
features.18.bn3.bias	torch.Size([2048])
features.18.bn3.running_mean	torch.Size([2048])
features.18.bn3.running_var	torch.Size([2048])
features.18.bn3.num_batches_tracked	torch.Size([])
features.19.conv1.weight	torch.Size([512, 2048, 1, 1])
features.19.bn1.weight	torch.Size([512])
features.19.bn1.bias	torch.Size([512])
features.19.bn1.running_mean	torch.Size([512])
features.19.bn1.running_var	torch.Size([512])
features.19.bn1.num_batches_tracked	torch.Size([])
features.19.conv2.weight	torch.Size([512, 512, 3, 3])
features.19.bn2.weight	torch.Size([512])
features.19.bn2.bias	torch.Size([512])
features.19.bn2.running_mean	torch.Size([512])
features.19.bn2.running_var	torch.Size([512])
features.19.bn2.num_batches_tracked	torch.Size([])
features.19.conv3.weight	torch.Size([2048, 512, 1, 1])
features.19.bn3.weight	torch.Size([2048])
features.19.bn3.bias	torch.Size([2048])
features.19.bn3.running_mean	torch.Size([2048])
features.19.bn3.running_var	torch.Size([2048])
features.19.bn3.num_batches_tracked	torch.Size([])
